CÓD. DEP.;DEPARTAMENTO;CÓD. MUN.;MUNICIPIO;CULTIVO;PERIODO;Área Sembrada(ha);Área Cosechada(ha);Producción(t);Rendimiento(t/ha)
54;NORTE DE SANTANDER;54518;PAMPLONA;CAFE;2018;47;41;25;0,6 
52;NARIÑO;52435;MALLAMA;CAFE;2017;47;42;35;0,8 
68;SANTANDER;68266;ENCISO;CAFE;2017;47;37;47;1,3 
25;CUNDINAMARCA;25599;APULO;CAFE;2018;47;47;41;0,9 
25;CUNDINAMARCA;25181;CHOACHI;CAFE;2017;46;43;47;1,1 
25;CUNDINAMARCA;25491;NOCAIMA;CAFE;2017;46;41;58;1,4 
54;NORTE DE SANTANDER;54518;PAMPLONA;CAFE;2017;45;39;26;0,7 
25;CUNDINAMARCA;25181;CHOACHI;CAFE;2016;45;40;43;1,1 
25;CUNDINAMARCA;25181;CHOACHI;CAFE;2018;45;42;47;1,1 
15;BOYACA;15761;SOMONDOCO;CAFE;2018;45;44;27;0,6 
15;BOYACA;15761;SOMONDOCO;CAFE;2017;45;44;29;0,7 
68;SANTANDER;68245;EL GUACAMAYO;CAFE;2016;44;39;35;0,9 
52;NARIÑO;52435;MALLAMA;CAFE;2016;44;41;43;0,1 
5;ANTIOQUIA;5380;LA ESTRELLA;CAFE;2016;44;41;39;0,1 
54;NORTE DE SANTANDER;54518;PAMPLONA;CAFE;2016;43;37;25;0,7 
5;ANTIOQUIA;5674;SAN VICENTE;CAFE;2017;43;31;41;1,3 
68;SANTANDER;68406;LEBRIJA;CAFE;2018;43;40;53;1,3 
5;ANTIOQUIA;5631;SABANETA;CAFE;2016;42;23;42;1,8 
5;ANTIOQUIA;5380;LA ESTRELLA;CAFE;2017;42;28;35;1,3 
68;SANTANDER;68406;LEBRIJA;CAFE;2016;42;37;39;1,1 
68;SANTANDER;68266;ENCISO;CAFE;2016;42;28;41;1,4 
5;ANTIOQUIA;5380;LA ESTRELLA;CAFE;2018;42;22;28;1,3 
5;ANTIOQUIA;5674;SAN VICENTE;CAFE;2018;42;30;41;1,4 
52;NARIÑO;52838;TUQUERRES;CAFE;2017;41;37;31;0,8 
52;NARIÑO;52838;TUQUERRES;CAFE;2016;41;35;40;1,1 
68;SANTANDER;68406;LEBRIJA;CAFE;2017;41;36;47;1,3 
25;CUNDINAMARCA;25491;NOCAIMA;CAFE;2018;41;37;54;1,5 
25;CUNDINAMARCA;25281;FOSCA;CAFE;2016;40;33;34;0,1 
52;NARIÑO;52838;TUQUERRES;CAFE;2018;40;37;32;0,9 
5;ANTIOQUIA;5440;MARINILLA;CAFE;2016;40;30;39;1,3 
5;ANTIOQUIA;5631;SABANETA;CAFE;2018;39;35;45;1,3 
5;ANTIOQUIA;5440;MARINILLA;CAFE;2017;39;36;30;0,8 
68;SANTANDER;68245;EL GUACAMAYO;CAFE;2018;38;36;63;1,7 
68;SANTANDER;68245;EL GUACAMAYO;CAFE;2017;38;36;60;1,7 
5;ANTIOQUIA;5631;SABANETA;CAFE;2017;37;34;43;1,3 
25;CUNDINAMARCA;25281;FOSCA;CAFE;2017;36;33;41;1,3 
15;BOYACA;15533;PAYA;CAFE;2016;35;32;19;0,6 
15;BOYACA;15533;PAYA;CAFE;2017;35;30;25;0,8 
68;SANTANDER;68397;LA PAZ;CAFE;2018;35;32;42;1,3 
15;BOYACA;15533;PAYA;CAFE;2018;35;35;30;0,9 
25;CUNDINAMARCA;25489;NIMAIMA;CAFE;2018;35;34;46;1,4 
